"customer_id","customer_name","age","gender","mobile_number","city","purchase_date","product_category","product_name","quantity","unit_price","total_spend","payment_method","channel","customer_segment","year","month_num","month_name","day","hour","day_of_week","quarter","is_weekend","is_month_end","season","time_of_day","age_group","log_unit_price","log_total_spend","spend_tier"
"CID039","Monika Bajaj",50,"Female","9007263570","Delhi",2023-01-01 09:09:40,"Automotive","Tyre Inflator",1,3810.4,3810.4,"Net Banking","In-Store","VIP",2023,1,"Jan",1,9,"Sun","Q1",TRUE,FALSE,"Winter","Morning","46-55",8.2458,8.2458,"Mid Spender"
"CID163","Heena Saraogi",38,"Female","9550602302","Delhi",2023-01-01 09:21:03,"Automotive","GPS Tracker",4,2910.17,11640.68,"Cash","Mobile App","New Customer",2023,1,"Jan",1,9,"Sun","Q1",TRUE,FALSE,"Winter","Morning","36-45",7.9763,9.3623,"High Spender"
"CID041","Heena Mukherjee",65,"Female","8950971635","Kolkata",2023-01-01 09:32:31,"Automotive","Car Seat Cover Set",2,3502.91,7005.82,"UPI","Online","VIP",2023,1,"Jan",1,9,"Sun","Q1",TRUE,FALSE,"Winter","Morning","55+",8.1616,8.8546,"High Spender"
"CID041","Heena Mukherjee",65,"Female","8950971635","Kolkata",2023-01-01 09:32:31,"Books","Deep Work",1,599.14,599.14,"Debit Card","Online","VIP",2023,1,"Jan",1,9,"Sun","Q1",TRUE,FALSE,"Winter","Morning","55+",6.3972,6.3972,"Low Spender"
"CID041","Heena Mukherjee",65,"Female","8950971635","Kolkata",2023-01-01 09:32:31,"Books","Rich Dad Poor Dad",3,416.15,1248.45,"UPI","Online","VIP",2023,1,"Jan",1,9,"Sun","Q1",TRUE,FALSE,"Winter","Morning","55+",6.0334,7.1305,"Mid Spender"
"CID208","Gopal Banerjee",54,"Male","7706065197","Mumbai",2023-01-01 10:10:20,"Books","Business Sutra",1,520.27,520.27,"UPI","Mobile App","Premium",2023,1,"Jan",1,10,"Sun","Q1",TRUE,FALSE,"Winter","Morning","46-55",6.2563,6.2563,"Low Spender"
"CID204","Lokesh Chakraborty",47,"Male","9081137169","Mumbai",2023-01-01 10:56:31,"Automotive","Helmet Full Face",1,2568.69,2568.69,"Debit Card","In-Store","Regular",2023,1,"Jan",1,10,"Sun","Q1",TRUE,FALSE,"Winter","Morning","46-55",7.8515,7.8515,"Mid Spender"
"CID204","Lokesh Chakraborty",47,"Male","9081137169","Mumbai",2023-01-01 10:56:31,"Automotive","Tyre Inflator",2,2598.04,5196.08,"Debit Card","In-Store","Regular",2023,1,"Jan",1,10,"Sun","Q1",TRUE,FALSE,"Winter","Morning","46-55",7.8629,8.5559,"Mid Spender"
"CID204","Lokesh Chakraborty",47,"Male","9081137169","Mumbai",2023-01-01 10:56:31,"Automotive","Car Polish Kit",2,840.61,1681.22,"Debit Card","In-Store","Regular",2023,1,"Jan",1,10,"Sun","Q1",TRUE,FALSE,"Winter","Morning","46-55",6.7353,7.4279,"Mid Spender"
"CID292","Amit Dinesh",33,"Male","7524188338","Surat",2023-01-01 12:58:17,"Electronics","PS5",2,49077.65,98155.3,"UPI","In-Store","New Customer",2023,1,"Jan",1,12,"Sun","Q1",TRUE,FALSE,"Winter","Afternoon","26-35",10.8012,11.4943,"High Spender"
"CID103","Tara George",33,"Other","8817423028","Hyderabad",2023-01-01 13:29:37,"Groceries","Himalaya Honey 500g",1,482.95,482.95,"Cash","In-Store","VIP",2023,1,"Jan",1,13,"Sun","Q1",TRUE,FALSE,"Winter","Afternoon","26-35",6.182,6.182,"Low Spender"
"CID073","Nisha Mathew",38,"Other","8115539822","Bangalore",2023-01-01 16:14:54,"Other","Desk Organizer",1,506.59,506.59,"Debit Card","In-Store","New Customer",2023,1,"Jan",1,16,"Sun","Q1",TRUE,FALSE,"Winter","Evening","36-45",6.2297,6.2297,"Low Spender"
"CID062","Jaya Paul",62,"Female","7489578801","Kolkata",2023-01-01 16:31:01,"Groceries","Sunflower Oil 1L",1,169.43,169.43,"Credit Card","In-Store","Regular",2023,1,"Jan",1,16,"Sun","Q1",TRUE,FALSE,"Winter","Evening","55+",5.1383,5.1383,"Low Spender"
